1,2,20
1,4,22
1,5,12
1,11,14
1,13,11
1,14,25
1,20,34
1,20,35
1,21,17
1,22,4
1,22,15
1,23,16
1,24,20
1,24,30
1,26,5
1,26,7
1,27,96
1,30,25
1,31,8
1,31,37
1,33,28
1,33,68
1,34,30
1,34,52
1,35,19
1,38,24
1,45,34
1,45,36
1,46,2
1,46,20
1,46,22
1,47,96
1,49,12
1,50,21
1,50,64
1,52,34
1,53,73
1,55,6
1,55,18
1,55,106
1,55,151
1,55,156
1,57,5
1,59,29
1,59,39
1,61,4
1,61,9
1,61,77
1,61,100
1,62,49
1,63,10
1,63,51
1,63,53
1,64,68
1,65,22
1,65,52
1,66,39
1,67,21
1,67,65
1,67,69
1,67,72
1,67,118
1,67,124
1,68,61
2,2,35
2,3,4
2,4,65
2,4,95
2,4,149
2,5,26
2,5,50
2,5,64
2,5,87
2,5,90
2,5,124
2,7,23
2,8,66
2,11,33
2,11,48
2,12,63
2,12,65
2,13,126
2,19,2
2,19,39
2,19,50
2,21,5
2,22,19
2,22,111
2,24,13
2,26,2
2,26,62
2,28,7
2,29,71
2,29,85
3,1,1
3,1,2
3,3,11
3,4,28
3,4,40
3,4,80
3,5,87
3,6,6
3,6,61
3,7,25
3,7,33
3,9,105
3,10,70
3,10,113
3,10,119
3,10,131
3,12,103
3,14,62
3,15,22
3,15,86
3,16,8
3,16,31
3,16,83
3,18,90
3,19,9
3,19,47
3,19,68
3,19,76
3,21,4
3,25,41
3,26,25
3,27,20
3,29,4
3,29,22
3,30,53
3,30,64
3,33,112
3,34,70
3,34,99
3,35,59
3,36,41
3,36,207
3,37,4
3,37,102
3,38,45
3,39,13
3,40,52
3,40,125
3,40,145
3,41,51
3,41,108
3,42,13
3,42,91
3,43,177
3,44,140
3,44,154
3,45,88
3,45,138
3,45,142
3,45,223
3,45,275
3,46,34
3,46,47
3,46,120
3,46,129
3,47,13
3,47,41
3,48,94
3,48,162
3,49,31
3,49,92
3,49,94
3,49,110
3,49,141
3,50,16
3,50,81
3,50,102
3,52,13
3,52,26
3,52,115
3,53,37
3,53,47
3,53,73
