1,2,77
1,2,81
1,4,7
1,13,43
1,14,18
1,15,48
1,22,71
1,27,6
1,27,71
1,28,91
1,29,79
1,29,98
1,30,86
1,31,17
1,32,17
1,34,29
1,34,35
1,36,14
1,36,121
1,36,152
1,38,193
1,39,62
1,40,40
1,44,29
1,45,4
1,45,9
1,47,5
1,49,8
1,49,58
1,49,69
1,49,76
1,50,169
1,53,126
1,54,6
1,54,26
1,61,66
1,63,2
1,67,136
2,5,79
2,6,5
2,7,37
2,9,83
2,12,27
2,13,99
2,13,104
2,15,6
2,15,40
2,19,62
2,22,77
3,7,51
3,9,8
3,12,118
3,14,75
3,20,117
3,29,25
3,29,38
3,30,55
3,31,102
3,33,8
3,33,59
3,34,52
3,35,75
3,36,244
3,39,80
3,39,131
3,42,100
3,44,5
3,44,77
3,45,109
3,46,43
3,47,107
3,48,115
3,48,190
3,49,39
3,49,115
3,50,27
4,3,28
4,6,72
4,7,52
4,7,94
4,8,42
4,8,110
4,11,29
4,16,195
4,20,51
4,21,28
4,22,53
4,23,47
4,26,34
4,26,66
4,29,86
4,31,61
4,34,13
4,34,71
4,39,51
4,39,123
