1,4,8
1,11,8
1,11,27
1,15,49
1,19,46
1,22,21
1,28,71
1,29,1
1,33,12
1,34,1
1,34,62
1,34,70
1,35,1
1,35,18
1,35,34
1,40,42
1,42,153
1,45,99
1,47,62
1,49,37
1,55,51
1,55,111
1,56,6
1,57,60
1,64,31
1,68,26
2,3,6
2,4,113
2,5,1
2,8,84
2,9,1
2,15,7
2,19,33
2,22,78
2,24,18
2,29,15
2,29,45
2,30,1
3,6,58
3,8,22
3,10,18
3,12,13
3,12,53
3,15,31
3,19,164
3,20,5
3,21,17
3,22,42
3,22,59
3,30,1
3,31,33
3,34,49
3,35,1
3,36,134
3,37,109
3,40,1
3,43,53
3,45,231
3,46,3
3,46,56
3,46,69
3,46,106
3,48,75
3,49,119
3,49,206
3,51,1
4,3,65
4,6,70
4,8,100
4,11,22
4,11,85
4,19,39
4,19,210
4,19,241
4,20,1
4,22,99
4,23,19
4,26,8
4,26,35
4,29,1
4,31,123
4,35,22
4,39,34
4,40,1
4,40,38
4,40,76
4,40,114
