1,6,16
1,11,44
1,15,56
1,18,4
1,19,52
1,20,24
1,29,39
1,33,79
1,33,81
1,34,3
1,38,138
1,42,52
1,42,141
1,42,194
1,46,17
1,46,30
1,49,124
1,50,209
1,55,125
1,64,63
1,68,54
2,7,24
2,10,7
2,12,4
2,13,74
2,19,53
2,22,98
2,26,55
2,27,3
2,27,71
2,29,98
3,7,31
3,8,25
3,8,51
3,10,102
3,11,30
3,19,23
3,25,56
3,31,67
3,33,108
3,36,106
3,36,239
3,37,1
3,38,34
3,39,104
3,40,88
3,41,34
3,43,143
3,44,39
3,50,105
3,50,194
3,51,3
4,3,51
4,3,69
4,7,30
4,9,2
4,16,17
4,16,183
4,18,93
4,20,50
4,21,5
4,22,14
4,22,64
4,23,55
4,23,62
4,24,34
4,29,119
4,29,120
4,30,105
4,30,130
4,30,137
4,31,14
4,31,28
4,35,15
4,35,17
4,35,24
4,39,3
4,39,35
4,40,108
4,40,132
