1,5,8
1,11,29
1,14,16
1,15,46
1,21,9
1,21,10
1,21,60
1,21,97
1,27,81
1,28,9
1,28,17
1,28,64
1,31,51
1,31,98
1,32,9
1,33,56
1,33,73
1,33,76
1,33,83
1,35,104
1,36,4
1,36,138
1,42,172
1,47,7
1,50,32
1,50,213
1,51,18
1,52,45
1,53,120
1,55,48
1,55,84
1,55,114
1,61,12
2,2,25
2,4,1
2,4,37
2,5,68
2,5,128
2,5,132
2,15,33
2,22,74
3,8,31
3,9,83
3,9,125
3,10,1
3,10,6
3,10,10
3,10,66
3,12,27
3,12,58
3,16,67
3,16,117
3,19,43
3,19,77
3,19,123
3,20,17
3,20,66
3,22,20
3,22,53
3,25,31
3,31,27
3,31,85
3,34,11
3,34,102
3,34,127
3,37,37
3,38,17
3,41,81
3,42,24
3,45,50
3,46,4
3,47,68
3,48,176
3,51,60
4,3,66
4,4,27
4,5,63
4,6,63
4,7,10
4,8,10
4,8,47
4,11,10
4,15,91
4,16,79
4,19,95
4,19,107
4,19,178
4,20,16
4,25,21
4,26,26
4,26,28
4,26,49
4,26,61
4,30,91
4,31,37
4,34,10
4,34,34
4,39,100
