1,10,6
1,13,4
1,21,30
1,21,39
1,22,24
1,22,66
1,26,26
1,27,13
1,27,91
1,28,6
1,29,5
1,33,8
1,35,68
1,36,21
1,36,100
1,38,28
1,38,157
1,40,114
1,42,59
1,44,36
1,48,32
1,49,61
1,53,36
1,61,6
1,61,117
1,67,41
1,67,103
2,4,21
2,4,152
2,5,17
2,7,15
2,7,65
2,9,35
2,11,52
2,11,59
2,12,71
2,13,17
2,13,91
2,18,18
2,19,43
2,26,31
2,27,41
2,28,47
2,29,42
3,4,14
3,7,16
3,8,61
3,10,26
3,11,16
3,13,17
3,14,38
3,15,23
3,16,109
3,18,65
3,18,83
3,19,78
3,20,97
3,22,21
3,22,36
3,29,43
3,31,86
3,33,100
3,34,128
3,34,162
3,35,2
3,36,199
3,36,246
3,38,8
3,38,150
3,45,137
3,45,179
3,45,239
3,47,46
3,47,77
3,49,6
3,50,88
3,50,158
