1,1,7
1,2,61
1,7,27
1,11,20
1,11,33
1,14,12
1,16,7
1,18,23
1,20,50
1,21,79
1,22,38
1,26,21
1,26,35
1,28,51
1,28,133
1,29,68
1,30,17
1,30,72
1,34,6
1,34,79
1,35,117
1,35,128
1,35,150
1,38,100
1,39,11
1,39,70
1,42,10
1,42,75
1,42,85
1,42,113
1,42,158
1,42,162
1,42,196
1,44,34
1,45,17
1,46,27
1,47,88
1,47,103
1,50,27
1,50,36
1,50,52
1,50,81
1,50,104
1,50,192
1,52,7
1,53,15
1,53,55
1,55,63
1,57,27
1,61,39
1,61,83
1,62,11
1,62,15
1,62,25
1,62,33
1,62,41
1,63,48
1,63,71
1,63,81
1,64,87
1,65,75
1,66,20
1,66,44
1,67,33
1,67,36
1,67,83
1,68,2
1,70,31
2,4,17
2,4,45
2,4,80
2,6,11
2,7,48
2,7,60
2,9,63
2,12,22
2,12,44
2,12,81
2,13,58
2,16,10
2,21,8
2,22,43
2,22,54
2,22,120
2,26,59
2,27,17
2,27,20
2,30,18
3,1,22
3,1,31
3,2,8
3,3,19
3,4,44
3,4,90
3,5,51
3,6,15
3,6,22
3,6,78
3,8,56
3,9,45
3,10,75
3,10,108
3,11,9
3,13,42
3,14,54
3,14,79
3,15,54
3,15,56
3,16,44
3,16,57
3,16,102
3,18,38
3,18,56
3,18,63
3,18,68
3,19,50
3,20,19
3,20,21
3,20,29
3,20,42
3,22,55
3,22,68
3,22,72
3,25,27
3,29,27
3,30,33
3,31,39
3,31,62
3,31,65
3,34,85
3,35,77
3,35,88
3,36,88
3,36,132
3,36,156
3,36,187
3,36,256
3,37,7
3,37,91
3,38,5
3,38,23
3,38,39
3,39,39
3,39,82
3,39,117
3,40,69
3,40,153
3,41,71
3,42,36
3,42,111
3,43,7
3,43,14
3,43,47
3,43,56
3,43,66
3,43,72
3,43,114
3,43,123
3,43,149
3,43,161
3,45,70
3,45,74
3,45,191
3,45,201
3,45,216
3,45,243
3,46,21
3,47,39
3,47,73
3,47,103
3,48,18
3,48,134
3,48,144
3,49,41
3,49,67
3,49,161
3,50,31
3,50,56
3,50,115
3,50,148
3,50,201
3,52,102
3,53,30
